title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
헌티드(Haunted)	2016	movie	15세이상관람가	['스릴러', '공포(호러)']	['미국']	['로베르토 단토나']	['에로스 단토나']	87	['왓챠']
에일리언 침공(Conspiracy Theory)	2016	movie	15세이상관람가	['공포(호러)']	['미국']	['벤 코볼드']	['제이크 마이어스']	80	['왓챠']
프리랜서스(Freelancers)	2012	movie	청소년관람불가	['드라마', '액션', '범죄']	['미국']	[]	['제시 테레로']	97	['넷플릭스', '티빙', '왓챠']
스틸 얼라이브(Paralytic)	2016	movie	15세이상관람가	['액션', '스릴러']	['미국']	[]	['조이 존슨']	87	['티빙']
레드플레인과 신비한 세계일주(Adventures on the Red Plane)	2014	movie	전체관람가	['코미디', '어드벤처(모험)', '애니메이션']	['브라질']	[]	['주제 마이아', '프레드리코 핀토']	72	['웨이브', '티빙', '왓챠', '라프텔 (자막)']
열혈남고(Fist & Faith)	2017	movie	15세이상관람가	['드라마', '코미디', '액션']	['중국']	['경첨', '구호', '쿠로키 메이사', '하야시 켄토']	['장조원']	100	['웨이브', '왓챠']
이물질: 욕망의 하모니(Foreign Body)	2016	movie	15세이상관람가	['드라마']	['프랑스', '튀니지']	[]	['라자 아마리']	92	['웨이브', '왓챠']
트로이 그레이트 워(Troy the Odyssey)	2017	movie	15세이상관람가	['액션', '어드벤처(모험)', '전쟁']	['미국']	[]	['테킨 길긴']	90	['티빙']
이웃집 테러리스트(Bomb Scared)	2017	movie	15세이상관람가	['코미디']	['스페인']	[]	['보르하 코베아가']	89	['넷플릭스']
로미나(Romina)	2018	movie	청소년관람불가	['공포(호러)']	['멕시코']	[]	['디에고 코엔']	74	['넷플릭스']
패러독스(Paradox)	2018	movie	15세이상관람가	['드라마', '음악']	['미국']	[]	['대릴 한나']	73	['넷플릭스']
조이의 비밀 App(Zapped)	2014	movie	12세이상관람가	['코미디', '가족', '판타지']	['미국', '캐나다']	[]	['피터 드루이즈']	92	['디즈니+']
